employee_id,employee_name,month,basic_salary,hra,special_allowance,overtime_pay,gross_salary,tax_deduction,pf_deduction,leave_deduction,total_deductions,net_salary
1001,James Anderson,2025-12-01,95000.0,19000.0,14250.0,0.0,128250.0,19237.5,11400.0,4130.43,34767.93,93482.07
1002,Michael Jackson,2025-12-01,50000.0,10000.0,7500.0,0.0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
1003,Michael Thompson,2025-12-01,70000.0,14000.0,10500.0,4000.0,98500.0,9850.0,8400.0,0.0,18250.0,80250.0
1004,Henry Miller,2025-12-01,50000.0,10000.0,7500.0,4500.0,72000.0,7200.0,6000.0,2173.91,15373.91,56626.09
1005,Ava White,2025-12-01,70000.0,14000.0,10500.0,0.0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
1006,Lucas White,2025-12-01,50000.0,10000.0,7500.0,500.0,68000.0,6800.0,6000.0,0.0,12800.0,55200.0
1007,Olivia Lee,2025-12-01,70000.0,14000.0,10500.0,0.0,94500.0,9450.0,8400.0,3043.48,20893.48,73606.52
1008,Amelia Garcia,2025-12-01,150000.0,30000.0,22500.0,2000.0,204500.0,30675.0,18000.0,0.0,48675.0,155825.0
1009,Charlotte Martin,2025-12-01,50000.0,10000.0,7500.0,0.0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
1010,Michael Perez,2025-12-01,95000.0,19000.0,14250.0,0.0,128250.0,19237.5,11400.0,0.0,30637.5,97612.5
1011,Evelyn Williams,2025-12-01,70000.0,14000.0,10500.0,500.0,95000.0,9500.0,8400.0,0.0,17900.0,77100.0
1012,Sophia Wilson,2025-12-01,70000.0,14000.0,10500.0,0.0,94500.0,9450.0,8400.0,0.0,17850.0,76650.0
1013,Harper Jackson,2025-12-01,90000.0,18000.0,13500.0,0.0,121500.0,18225.0,10800.0,0.0,29025.0,92475.0
1014,Mia Taylor,2025-12-01,150000.0,30000.0,22500.0,0.0,202500.0,30375.0,18000.0,39130.43,87505.43,114994.57
1015,Henry Brown,2025-12-01,90000.0,18000.0,13500.0,0.0,121500.0,18225.0,10800.0,0.0,29025.0,92475.0
1016,Harper Smith,2025-12-01,120000.0,24000.0,18000.0,0.0,162000.0,24300.0,14400.0,5217.39,43917.39,118082.61
1017,Ava Perez,2025-12-01,70000.0,14000.0,10500.0,3000.0,97500.0,9750.0,8400.0,0.0,18150.0,79350.0
1018,Ella Jackson,2025-12-01,50000.0,10000.0,7500.0,0.0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
1019,Michael Davis,2025-12-01,50000.0,10000.0,7500.0,6000.0,73500.0,7350.0,6000.0,0.0,13350.0,60150.0
1020,Olivia Thompson,2025-12-01,65000.0,13000.0,9750.0,2000.0,89750.0,8975.0,7800.0,0.0,16775.0,72975.0
1021,Ethan Moore,2025-12-01,90000.0,18000.0,13500.0,0.0,121500.0,18225.0,10800.0,0.0,29025.0,92475.0
1022,Ethan Thomas,2025-12-01,50000.0,10000.0,7500.0,0.0,67500.0,6750.0,6000.0,2173.91,14923.91,52576.09
1023,Olivia Smith,2025-12-01,80000.0,16000.0,12000.0,0.0,108000.0,16200.0,9600.0,0.0,25800.0,82200.0
1024,Harper Jackson,2025-12-01,50000.0,10000.0,7500.0,0.0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
1025,Michael Miller,2025-12-01,70000.0,14000.0,10500.0,3000.0,97500.0,9750.0,8400.0,0.0,18150.0,79350.0
1026,Michael Johnson,2025-12-01,150000.0,30000.0,22500.0,0.0,202500.0,30375.0,18000.0,0.0,48375.0,154125.0
1027,Alexander Taylor,2025-12-01,95000.0,19000.0,14250.0,0.0,128250.0,19237.5,11400.0,0.0,30637.5,97612.5
1028,Harper Jones,2025-12-01,70000.0,14000.0,10500.0,1500.0,96000.0,9600.0,8400.0,3043.48,21043.48,74956.52
1029,Henry Williams,2025-12-01,60000.0,12000.0,9000.0,0.0,81000.0,8100.0,7200.0,2608.7,17908.7,63091.3
1030,Amelia Davis,2025-12-01,65000.0,13000.0,9750.0,3000.0,90750.0,9075.0,7800.0,2826.09,19701.09,71048.91
1031,Daniel Wilson,2025-12-01,95000.0,19000.0,14250.0,0.0,128250.0,19237.5,11400.0,4130.43,34767.93,93482.07
1032,Olivia Johnson,2025-12-01,55000.0,11000.0,8250.0,0.0,74250.0,7425.0,6600.0,0.0,14025.0,60225.0
1033,Ava Miller,2025-12-01,95000.0,19000.0,14250.0,0.0,128250.0,19237.5,11400.0,0.0,30637.5,97612.5
1034,Ella Johnson,2025-12-01,95000.0,19000.0,14250.0,0.0,128250.0,19237.5,11400.0,4130.43,34767.93,93482.07
1035,Alexander Taylor,2025-12-01,70000.0,14000.0,10500.0,0.0,94500.0,9450.0,8400.0,3043.48,20893.48,73606.52
1036,Ava Johnson,2025-12-01,150000.0,30000.0,22500.0,1000.0,203500.0,30525.0,18000.0,0.0,48525.0,154975.0
1037,Amelia Smith,2025-12-01,65000.0,13000.0,9750.0,0.0,87750.0,8775.0,7800.0,5652.17,22227.17,65522.83
1038,Ava Moore,2025-12-01,50000.0,10000.0,7500.0,500.0,68000.0,6800.0,6000.0,0.0,12800.0,55200.0
1039,James Wilson,2025-12-01,50000.0,10000.0,7500.0,2000.0,69500.0,6950.0,6000.0,0.0,12950.0,56550.0
1040,Lucas Moore,2025-12-01,50000.0,10000.0,7500.0,0.0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
1041,Ethan Taylor,2025-12-01,80000.0,16000.0,12000.0,0.0,108000.0,16200.0,9600.0,3478.26,29278.26,78721.74
1042,James Garcia,2025-12-01,60000.0,12000.0,9000.0,0.0,81000.0,8100.0,7200.0,0.0,15300.0,65700.0
1043,Benjamin Anderson,2025-12-01,60000.0,12000.0,9000.0,0.0,81000.0,8100.0,7200.0,0.0,15300.0,65700.0
1044,Ava Harris,2025-12-01,150000.0,30000.0,22500.0,0.0,202500.0,30375.0,18000.0,0.0,48375.0,154125.0
1045,Alexander Harris,2025-12-01,150000.0,30000.0,22500.0,0.0,202500.0,30375.0,18000.0,0.0,48375.0,154125.0
1046,Sophia White,2025-12-01,120000.0,24000.0,18000.0,0.0,162000.0,24300.0,14400.0,5217.39,43917.39,118082.61
1047,Michael Taylor,2025-12-01,45000.0,9000.0,6750.0,0.0,60750.0,6075.0,5400.0,1956.52,13431.52,47318.48
1048,Olivia Jones,2025-12-01,70000.0,14000.0,10500.0,0.0,94500.0,9450.0,8400.0,9130.43,26980.43,67519.57
1049,Ella Martin,2025-12-01,50000.0,10000.0,7500.0,0.0,67500.0,6750.0,6000.0,0.0,12750.0,54750.0
1050,Sophia Brown,2025-12-01,70000.0,14000.0,10500.0,0.0,94500.0,9450.0,8400.0,6086.96,23936.96,70563.04
1051,William Anderson,2025-12-01,70000.0,14000.0,10500.0,3000.0,97500.0,9750.0,8400.0,0.0,18150.0,79350.0
1052,Ella Lee,2025-12-01,95000.0,19000.0,14250.0,0.0,128250.0,19237.5,11400.0,4130.43,34767.93,93482.07
1053,Ella Wilson,2025-12-01,70000.0,14000.0,10500.0,6000.0,100500.0,15075.0,8400.0,0.0,23475.0,77025.0
